_natured (forming compound adjs)	adj\nစိတ္ သေဘာထားရိွေသာ။ good -natuerd.
archetypal	adj\nသမားရိုးက်။
archetype	n\nပံုစံ။ နမူနာ။
archipelago	n\nကြ်န္းစု။
architect	n\nဗိသုကာ။ အေဆာက္အအံုပံုစံ ထုတ္လုပ္၍ ေဆာက္လုပ္ရာတြင္ ၾကီးၾကပ္သူ။ စီမံဖန္တီးသူ။ [ဥ] ဗိသုကာ။
architects	n[pl]\nဗိသုကာမ်ား
architectural	adj\nဗိသုကာဆိုင္ရာ။ ဗိသုကာပညာ။
architecturally	adv\nဗိသုကာရႈေထာင့္မွ။
architecture	n\nဗိသုကာပညာ။ ဗိသုကာပံုစံ။ (computing) ကြန္ပ်ဴတာစနစ္တစ္ရပ္၏ သေဘာသဘာဝႏွင့္ တည္ေဆာက္ပံု။
architectures	n[pl]\nဗိသုကာပညာမ်ား
architrave	n\n(ေရွးဂရိ၊ ေရာမ) တိုင္တန္း ထိပ္ နဖူးစီး၏ ေအာက္ဆံုးအပိုင္း ေဖာင္းတန္း။ (ျပတင္း၊ တံခါး) ေဖာင္းမြမ္းက်ည္းေခြ။
archive	n\nေမာ္ကြန္း။ ေမာ္ကြန္းတိုက္။
archivist	n\nေမာ္ကြန္းတိုက္မႉး။
archway	n\nမုခ္ခံုး။ မုခ္ခံုးပါစၾကၤံ။
Arctic	adj\nအလြန္ေအးျမေသာ။
ardent	adj\nအလြန္တက္ၾကြေသာ။ ေဇာသန္ေသာ။
ardently	adv\nအူလိႈက္အသည္းလိႈက္။ ထက္ထက္သန္သန္။
ardour	n\nစိတ္ေဇာဟုန္။ စိတ္ေဇာ။
arduous	adj, adv=\nခက္ခဲၾကမ္းတမ္းေသာ။
are	v\nျဖစ္
area	n\nအက်ယ္အဝန္းပမာဏ။ ဧရိယာ။ နယ္ေျမ။ ေဒသ။ အပိုင္း အျခား။ အရပ္။ နယ္ပယ္။
area code	n\n(ရန္ကုန္ - ဝ၁ ၊ မႏၱေလး - ဝ၂ စသည္ျဖင့္) ေဒသန ၱရတယ္လီဖုန္းဆက္သြယ္မႈ အပိုင္းအျခားတစ္ခုမွ တစ္ခုသို႔ ဆက္သြယ္ရာ၌ သံုးရေသာ သညာမွတ္။
areas	n[pl]\nဧရိယာမ်ား
aren't	short\nare not. မရိွ။ မဟုတ္။
arena	n\nအားကစားကြင္း။ ပဲြခင္း။ ျပိဳင္ကြင္း။ (လက္ေဝွ႕) ၾကိဳးဝိုင္း၊ (စစ္)တလင္း စသည့္ စိန္ေခၚတိုက္ခိုက္ရာ ေနရာအပိုင္းအျခား။
argent	n\nေငြေရာင္။
argent	adj\nေငြေရာင္ျဖစ္ေသာ။
argon	n\n(symb Ar) အာဂြန္ဓာတ္ေငြ႔ျဒပ္စင္။
argosy	n\nကုန္တင္သေဘၤာၾကီး။
argot	n\n(ဇာတ္သမားအခ်င္းခ်င္း၊ ကြန္ပ်ဴတာ ဝါသနာအိုး အခ်င္းခ်င္း စသည့္ သီးျခားေလာကတစ္ခု အတြင္း၌သာ နားလည္ေသာ) စကား။
arguable	adj\nျငင္းခံုေဆြးေႏြးႏိုင္ေသာ။ ေစာဒကတက္ႏိုင္ေသာ။
arguably	adv\nမည္သို႔ဆိုေစ။
argue	v\nစကား မ်ားသည္။ ခံေျပာသည္။ ျငင္းခံုသည္။ ရည္ညႊန္းသည္။ ေထာက္ခံသည္။ (သို႔) ကန္႔ကြက္သည္။
argue	v[sg]\nစကားမ်ား
argue the toss	idm\n(Brit) ဆံုးျဖတ္ခ်က္အေပၚ သေဘာမတူေၾကာင္း ထုတ္ေဖာ္ေျပာဆိုသည္။
argued	v[pt]\nစကားမ်ားခဲ့
argued	v[pp]\nစကားမ်ားခဲ့ျပီး
arguing	v[ing]\nစကားမ်ားေန
argument	n\nအျငင္းအခံု။ စကားမ်ားျခင္း။ အက်ိဳးသင့္ အေၾကာင္းသင့္ ေဆြးေႏြးျခင္း။
argumentative	adj\nအျငင္းအခံုသန္ေသာ။
arguments	n[pl]\nေလွ်ာက္လဲခ်က္မ်ား
argy-bargy	n\nဆူဆူညံညံ ျငင္းခံုျခင္း။ ပူညံပူညံ။
aria	n\nတစ္ဦးတည္းအဆိုအတြက္ေတး။
arid	adj\nမိုးနည္းေသာ။ မိုးေခါင္ေသာ။ ေျခာက္ေသြ႔ ေသာ။ ျငီးေငြ႔ဖြယ္ျဖစ္ေသာ။
Aries	n\nဆယ္႔ႏွစ္ရာသီခြင္တြင္ ပထမျဖစ္ေသာ သိုးထီးပံု မႆိရာသီရုပ္။ မႆိ ရာသီဖြား။
Aries	n[pl]\nမႆိရာသီမ်ား
aright	adv\nမွန္ကန္စြာ။ မင္း ဒီလိုေျပာတာ ေသခ်ာတယ္ေနာ္။
arise	v\nေပၚသည္။ ျဖစ္သည္။
arise	v[sg]\nေပၚ
arisen	v\nေပၚသည္။ ျဖစ္သည္။
arisen	v[pp]\nေပၚခဲ့ျပီး
arising	v[ing]\nေပၚေန
aristocracy	n\nအထက္တန္းလႊာ။ မင္းမ်ိဳး စိုးႏြယ္။
aristocrat	n\nမင္းမ်ိဳးစိုးႏြယ္ဝင္။ မင္းမ်ိဳး စိုးမ်ိဳး။
aristocratic	adj\nမဟာ ဆန္ေသာ။
arithmetic	n\nဂဏန္းသခ်ၤာ။ ဂဏန္း ပုစာၦမ်ား။
arithmetic	adj\nဂဏန္းသခၤ်ာႏွင့္ဆိုင္ေသာ။
arithmetic progression	n\nတူညေသာပမာဏျဖင့္ တိုးေသာ၊ ေလ်ာ႔ေသာ ဂဏန္းစဉ္။ (ဥပမာ- ၁၊ ၂၊ ၃ (သို႔) ၈၊ ၆၊ ၄)
arithmetical	adj\nဂဏန္းသခၤ်ာႏွင့္ဆိုင္ေသာ။
arithmetical progression	n\nတူညေသာပမာဏျဖင့္ တိုးေသာ၊ ေလ်ာ႔ေသာ ဂဏန္းစဉ္။ (ဥပမာ- ၁၊ ၂၊ ၃ (သို႔) ၈၊ ၆၊ ၄)
ark	n\n(သမၼာက်မ္း) Noah မိသားစုကို ေရၾကီးျခင္းမွ ကယ္ေသာ ေလွၾကီး။
arm	n\nလက္ေမာင္း။ လက္။ လက္တစ္ကမ္း။ အက်ၤီလက္။ လက္ေမာင္းကဲ့သို႔ေသာ ေမာင္းတံ၊ လက္တံ၊ လက္တန္း စသည္။
arm	v\nလက္နက္ တပ္ဆင္ သည္။ စစ္တိုက္ရန္ ျပင္ဆင္သည္။ ေဖာက္ခဲြရန္ အသင့္ျပင္ဆင္သည္။
armada	n\nစစ္သေဘၤာစု။
armadillo	n\nသင္းေခြခ်ပ္ကဲ့သို႔ အေၾကးခံြ မာမ်ားျဖင့္ ဖံုးလ်က္ရိွျပီး အန ၱရာယ္ရိွက ေခြလံုးေနတတ္ေသာ သတၱဝါ။ အမာဒီလို။ (လက္တင္အေမရိက ေဒသတြင္ ေတြ႔ရ သည္။)
armadillos	n[pl]\nသင္းေခြခ်ပ္မ်ား
Armageddon	n\nကမာၻေပၚရိွ သက္ရိွသတၱဝါအားလံုး ပ်က္သုဉ္းေစႏိုင္ေသာစစ္ပဲြ။
armament	n\nအေျမာက္၊ တင့္ကား စသည္ လက္နက္ၾကီးမ်ား။ တပ္မ်ားကို လက္နက္တပ္ဆင္ျခင္း။
armature	n\nလွ်ပ္စစ္ဓာတ္ကိရိယာ။
armband	n\nလက္ပတ္။
armchair	n\nလက္တင္ပါေသာ ကုလားထိုင္။
armchair	adj\nထိုင္ရာမထ [ေသာ]။
armed	adj\nလက္နက္အသံုးျပဳေသာ။ လက္နက္ အသင့္ ျပင္ဆင္မႈျဖင့္ ၾကားေနျခင္း။
armed to the teeth	idm\nလက္နက္မ်ိဳးစံု တပ္ဆင္ ထားသည္။
armful	n\nတစ္ေပြ႔။
armhole	n\nအက်ၤီလက္ေပါက္။
armies	n[pl]\nလက္နက္အသံုးျပဳျခင္းမ်ား
armistice	n\nစစ္ဆိုင္းရန္ ႏွစ္ဖက္ သေဘာ တူညီမႈ။ စစ္ဆိုင္းကာလ။
armlet	n\nလက္ပတ္။
armor	n\nသံခ်ပ္ကာ၊ က်ည္ကာ (အက်ၤီ) စသည္။ (ေရွး)ခ်ပ္။ ခ်ပ္ဝတ္တန္ဆာ။
armor-plated	adj\nသံခ်ပ္ကာ (ယာဉ္)။
armorer	n\nလက္နက္ျပင္ (သို႔) လက္နက္၊ ခ်ပ္ဝတ္လုပ္သူ၊ ျပင္သူ။
armorial	adj\nရိုးရာအထိမ္းအမွတ္ တံဆိပ္မ်ားႏွင့္ ဆိုင္ေသာ။
armory	n\nလက္နက္ သံခ်ပ္ပစၥည္းမ်ား ထားေသာေနရာ။ လက္နက္တိုက္။
armour	n\nသံခ်ပ္ကာ၊ က်ည္ကာ (အက်ၤီ) စသည္။ (ေရွး)ခ်ပ္။ ခ်ပ္ဝတ္တန္ဆာ။
armour-plated	adj\nသံခ်ပ္ကာ (ယာဉ္)။
armoured	adj\nသံခ်ပ္ကာ။
armoured unit	n\nသံခ်ပ္ကာကားတပ္
armourer	n\nလက္နက္ျပင္ (သို႔) လက္နက္၊ ခ်ပ္ဝတ္လုပ္သူ၊ ျပင္သူ။
armourers	n[pl]\nလက္နက္တပ္ဆင္ေပးသူမ်ား
armouries	n[pl]\nလက္နက္တိုက္မ်ား
armours	n[pl]\nသံခ်ပ္အကၤ်ီမ်ား
armoury	n\nလက္နက္ သံခ်ပ္ပစၥည္းမ်ား ထားေသာေနရာ။ လက္နက္တိုက္။
armpit	n\nခ်ိဳင္းၾကား။
armpit hair	n\nခ်ိဳင္းေမႊး
armpits	n[pl]\nခ်ိဳင္းေမႊးမ်ား
arms	n\nလက္နက္။
arms	n[pl]\nလက္နက္မ်ား
arms race	n\nလက္နက္အင္အားျပိဳင္ပဲြ။
army	n\nစစ္တပ္။ ၾကည္းတပ္။
aroma	n\nရနံ့။
aromatherapy	n\nေရာဂါေပ်ာက္ရန္ ဆေမႊးျဖင့္ လိမ္းသပ္ႏိွပ္နယ္ျခင္း၊ ရနံ့ေပးျခင္း။ ရနံ့ကုထံုး။
aromatic	adj\nရနံ့ေမႊးေသာ။
arose	v\nေပၚသည္။ ျဖစ္သည္။
arose	v[pt]\nေပၚခဲ့
around	adv\nခန္႔။ ေလာက္။
arousal	n\nရာဂနိႈးဆြျခင္း။
arouse	v\nအိပ္ရာမွနိႈးသည္။
arpeggio	n\nေကာ႔ဒ္တစ္ခုရိွ အသံ မ်ားကို တစ္ျပိဳင္နက္မတီးဘဲ လိွမ္႔၍တီးျခင္း။
arraign	v\n(law) ျပစ္မႈက်ဴးလြန္ေၾကာင္း တရားဝင္ စြပ္စဲြ သည္။ ရံုးတင္သည္။
arrange	v\nေသေသသပ္သပ္ စီစဉ္သည္။ ၾကိဳတင္၍ အေသးစိတ္ ျပင္ဆင္ သည္။
arrange	vt, vi\nစီစဉ္သည္။
arrange	v[sg]\nစီစဉ္
arranged	v[pt]\nေသေသသပ္သပ္ စီစဉ္ခဲ့
arranged	v[pp]\nေသေသသပ္သပ္ စီစဉ္ခဲ့ျပီး
arrangement	n\nစီစဉ္ျခင္း။ အစီအစဉ္။
arrangements	n[pl]\nစီစဉ္ျခင္းမ်ား
arranger	n\nပန္း အလွျပင္သူမ်ား။
arranging	v[ing]\nစီစဉ္ေန
arrant	adj\nလံုးလံုးလ်ားလ်ား ဆိုးဝါးေသာ။ ကမ္းကုန္ေအာင္ဆိုးဝါးေသာ။
arrant nonsense	n\nေပါက္တတ္ကရ။
arras	n\nလွပေအာင္မြမ္းမံထားသည့္ ကန္႔လန္႔ ကာၾကီး။
array	v\nစီစဉ္ခင္းက်င္းသည္။ (computing) အမ်ိဳးမ်ိဳးအသံုးခ်၍ရေသာ အခ်က္အလက္တည္ေဆာက္မႈ။
arrayed	v[pt]\nစီစဉ္ခင္းက်င္းခဲ့
arrayed	v[pp]\nစီစဉ္ခင္းက်င္းခဲ့ျပီး
arraying	v[ing]\nစီစဉ္ခင္းက်င္းေန
arrears	n\nေၾကြးက်န္။
arrest	v\nဖမ္းဆီးသည္။ ရပ္ေစ သည္။ တန္႔ေစသည္။ အာရံုကို ဖမ္းစားသည္။
arrest	n\nဖမ္းဆီးျခင္း
arrest	v[sg]\nဖမ္းဆီး
arrested	v[pt]\nဖမ္းဆီးခဲ့
arrested	v[pp]\nဖမ္းဆီးခဲ့ျပီး
arresting	adj\nညိႈ႔ဓာတ္ပါေသာ။ ဖမ္းစားေသာ။
arresting	v[ing]\nဖမ္းဆီးေန
arrival	n\nဆိုက္ေရာက္ျခင္း။ ေပၚေပါက္ျခင္း။ ေရာက္လာသူ။ ေရာက္လာသည့္အရာ။
arrivals	n[pl]\nဆိုက္ေရာက္ျခင္းမ်ား
arrive	v\nဆိုက္ေရာက္သည္။ (ပစၥည္း) ေရာက္ လာသည္။ နာမည္ၾကီးသည္။ ေအာင္ျမင္သည္။
arrive	v[sg]\nဆိုက္ေရာက္
arrived	v[pt]\nဆိုက္ေရာက္ခဲ့
arrived	v[pp]\nဆိုက္ေရာက္ခဲ့ျပီး
arriving	v[ing]\nဆိုက္ေရာက္ေန
arrogant	adj\nမာနၾကီးေသာ။ စိတ္ၾကီး ဝင္ ေသာ။ အထက္စီးဆန္ေသာ။
arrogate	v\nမာနၾကီးသည္။ စိတ္ၾကီး ဝင္ သည္။ အထက္စီးဆန္သည္။
arrow	n\nျမား။
arrowhead	n\nျမားဦး။
arrowroot	n\nအာဒါလြတ္ဥ။
arrows	n[pl]\nျမားမ်ား
arse	n\nဖင္။ စအိုဝ။ အေကာင္။ ေကာင္။
arse-hole	n\nစအိုဝ။ (တစ္စံုတစ္ေယာက္ကို ရင့္သီးစြာ တိုင္းထြာ၍ ေခၚရာ၌လည္း သံုးသည္။)
arsenal	n\nလက္နက္ခဲယမ္းစု။ လက္နက္တိုက္။အာဆင္နယ္ေဘာ္လံုးအသင္း။
arsenals	n[pl]\nလက္နက္ခဲယမ္းတိုက္မ်ား
arsenic	n\n(အဆိပ္)စိန္။
arson	n\nမီးရိႈ႔မႈ။ ရိႈ႔မီး။
arsonist	n\nမီးကြင္းပစ္သူ။ မီးရိႈ႔မႈက်ဴးလြန္သူ။
art	n\nပန္းခ်ီ၊ ပန္းပုစသည့္ အႏုပညာ။ အႏုပညာ စြမ္းရည္၊ ပါရမီ။ အႏုပညာ လက္ရာ။
art form	n\nအႏုပညာဖန္တီးမႈ။ အႏုပညာရပ္။
artefact	n\nလူ႔ယဉ္ေက်းမႈသမိုင္းကို ေဖာ္ညႊန္းျပေသာ လူတို႔ဖန္တီးခဲ့သည့္ အသံုး အေဆာင္ပစၥည္းမ်ား။ ေရွးလူ႔အသံုးအေဆာင္။ ေရွးပစၥည္း။
arterial	n\nေသြးလႊတ္ေၾကာ။ ယာဉ္အသြားအလာအတြက္ အေရးပါေသာလမ္း။ ပင္မလမ္းေၾကာင္း။
arteries	n[pl]\nအႏုပညာမ်ား
arteriosclerosis	n\nေသြးလႊတ္ ေၾကာမာေရာဂါ။
artery	n\nေသြးလႊတ္ေၾကာ။ ယာဉ္အသြားအလာအတြက္ အေရးပါေသာလမ္း။ ပင္မလမ္းေၾကာင္း။
artesian well	n\nအဝီစိတြင္း။
artful	adj\n(လူ) ပရိယာယ္မ်ားေသာ။ ဉာဏ္မ်ားေသာ။ ပညာသားပါပါ ဖန္တီးထားေသာ၊ ျပဳလုပ္ထားေသာ။
arthritic	adj\nအဆစ္ေရာင္နာ ခံစားေနရေသာ။ အဆစ္ေရာင္နာေၾကာင့္ျဖစ္ေသာ။
arthritic	n\nအဆစ္ေရာင္နာေရာဂါသည္။
arthritides	n[pl]\nေသြးလႊတ္ေၾကာမ်ား
arthritis	n\nအဆစ္ေရာင္ေရာဂါ။
artichoke	n\nေဂၚဖီ ထုပ္ကဲ့သို႔ေသာ အရြက္ထုပ္ဟင္းပင္တစ္မ်ိဳး။
article	n\nအရာဝတၳဳ။ ပစၥည္း။ အစံုလိုက္ထဲမွ တစ္ခု။ ေဆာင္းပါး။ (law) စာခ်ဳပ္တြင္ပါဝင္ေသာ ပိုဒ္ခဲြ၊ အခ်က္။
article	v\nစာခ်ဳပ္ျဖင့္ ခန္႔၍ ေလ့က်င့္ေပး
article of faith	n\nဘာသာေရးယံုၾကည္မႈ အေျခခံ။ စဲြျမေသာယံုၾကည္ခ်က္။
articled	v[pt]\nစာခ်ဳပ္ျဖင့္ ခန္႔၍ ေလ့က်င့္ေပးခဲ့
articled	v[pp]\nစာခ်ဳပ္ျဖင့္ ခန္႔၍ ေလ့က်င့္ေပးခဲ့ျပီး
articles	n[pl]\nေဆာင္းပါးမ်ား
articles	v[sg]\nစာခ်ဳပ္ျဖင့္ ခန္႔၍ ေလ့က်င့္ေပး
articling	v[ing]\nစာခ်ဳပ္ျဖင့္ ခန္႔၍ ေလ့က်င့္ေပးေန
articulate	adj\nရွင္းလင္းစြာေျပာဆိုႏိုင္ေသာ။ ပီသစြာ ရြတ္ဆိုႏိုင္ေသာ။
articulate	v\nရွင္းရွင္းလင္းလင္း ထုတ္ေဖာ္ေျပာဆိုသည္။ ဌာန္၊ ကရိုဏ္းက်က် ရြတ္ဆိုသည္။
articulated	adj\nလြယ္ကူစြာေကြ႔ႏိုင္ေအာင္ ယာဉ္ အတဲြ အပိုင္းမ်ားကို ဆက္ထားေသာ။
articulation	n\nစိတ္ကူး၊ ခံစားမႈကို စကားျဖင့္ထုတ္ေဖာ္ျခင္း။ စကားသံထုတ္မႈ။
artifice	n\nလွည့္ျဖားျခင္း။ မာယာမ်ားျခင္း။ လွည့္ျဖားမႈ။ မာယာ။
artificer	n\n(ၾကည္းတပ္၊ ေရတပ္) စက္မႈကြ်မ္းက်င္ပညာသည္။ စက္ဆရာ။
artificial	adj\nသဘာဝကို တုပ ျပဳလုပ္ ထားေသာ။ အတု။ သဘာဝအေလ်ာက္ ျဖစ္ေပၚျခင္းမဟုတ္ဘဲ လူက ဖန္တီး ေသာ။
artificial insemination	n\nေမထုန္မဲ့ သားစပ္ျခင္း။
artificial intelligence	abbr\nAl လူတို႔ဉာဏ္ရည္ကို ကြန္ပ်ဴတာျဖင့္ စီစဉ္တုပမႈ။
artificial respiration	n\nအသက္ရႉကူျခင္း။
artificial satellite	n\nျဂိဳလ္တု
artificially	adv\nဟန္ေဆာင္ထား
artilleries	n[pl]\nဟန္ေဆာင္ထားျခင္းမ်ား
artillery	n\nအေျမာက္။ အေျမာက္တပ္။
artillery-man	n\nအေျမာက္ပစ္သူ
artisan	n\nလက္မႈပညာသည္။
artist	n\nပန္းခ်ီ၊ ပန္းပု အႏုပညာရွင္။ ကြ်မ္းက်င္ေျပာင္ေျမာက္သူ။
artiste	n\nသဘင္၊ သုခုမပညာသည္။
artistic	adj\nအႏုပညာ အရည္အေသြးျပေသာ၊ ရိွေသာ။ ရသကို ခံစားတတ္ေသာ။ ကြ်မ္းက်င္လွပစြာ ဖန္တီးထားေသာ။
artistically	adv\nအႏုပညာ အရည္အေသြးျပစြာ။ ရသကို ခံစားတတ္စြာ။
artistry	n\n(အႏုပညာလက္ရာတြင္) ပညာသားပါမႈ။
artists	n[pl]\nအႏုပညာအရည္အေသြး ရိွသူမ်ား
artless	adj\nဟန္ေဆာင္မႈကင္းေသာ။ ရိုးစင္းေသာ။
artlessly	adv\nရိုးသားစြာ။
artlessness	n\nရိုးသားမူ။
arts	n\nဝိဇၨာပညာ။
arts	n[pl]\nဝိဇၨာပညာမ်ား
arts and crafts	n\nလက္မႈအႏုပညာ။ (ရက္ကန္း ရက္ျခင္း၊ အိုးလုပ္ျခင္း စသည္)။
artwork	n\nစာအုပ္ႏွင့္စာနယ္ဇင္းမ်ားတြင္ ပါေသာ ဓာတ္ပံု၊ သရုပ္ေဖာ္ပံု။ အႏုပညာလက္ရာ။
arty	adj\nအမ်ားအထင္ၾကီးေအာင္ အႏုပညာ ျမတ္ႏိုးဟန္ျပေသာ။
as	prep\nဟန္။ ကဲ့သို႔။ အေနျဖင့္။ လို။
as / slong as	idm\nသမွ်။ သေရြ႔။ ကာလပတ္လံုး။ ကတည္းက။
as always	idm\nခါတိုင္းလိုပင္။
as and when	idm\n…သည့္အခါ။ …သလို။
as easy as anything/as pie/as ABC/as falling off a log/as winking	idm\nအလြန္ လြယ္ကူသည္။ ငွက္ေပ်ာသီး အခံြႏႊာစားရသလိုပဲ။
as good, well, far, much, etc as the next man	idm\nလူတကာလို။ သူလိုငါလိုပဲ။
as it is	idm\nလက္ရိွအေျခအေနအတိုင္း၊ အရ။
as it were	idm\n(အထင္မွ်သာျဖစ္ေၾကာင္း၊ အတိအက် မဟုတ္ေၾကာင္း ညႊန္းဆိုေသာစကား)။
as long as your arm	idm\nတစ္လံ ေလာက္ ရွည္ေသာ။
as luck would have it	idm\nကံေကာင္းခ်င္ေတာ႔။ ကံအားေလ်ာ္စြာ။
as much	idm\nသေလာက္။ သမွ်။
as much as sb can do	idm\nအတတ္ႏိုင္ဆံုး။ အာဏာကုန္။
as near as	IDM\nအနီးစပ္ဆံုး ။
as near as damn it	IDM\nကြာလွရင္ မျဖစ္စေလာက္ပါပဲ ။
as one man	idm\nတစ္စိတ္တစ္ဝမ္းတည္း။
as the crow flies	idm\nခရီး)အေျဖာင့္အားျဖင့္။
as you were	idm\nေနျမဲ။
ASA	abbr\nAmerican Standards Association. အေမရိကန္ စံခ်ိန္ စံညႊန္းသတ္မွတ္ေရးအသင္း။
asap	abbr\nအျမန္ဆံုး။
asbestos	n\nေက်ာက္ဂြမ္း။
asbestosis	n\nေက်ာက္ဂြမ္းမႈန္႔ကို ရႉရိႈက္မိ၍ျဖစ္ပြားေသာ အဆုတ္နာ။
ascend	v\nတက္သြားသည္။ တက္လာသည္။
ascendancy	n\nအထက္စီးရမႈ။
ascendant	n\nဩဇာ၊  အာဏာ။
ascendent	n\nဩဇာ၊  အာဏာ။
ascension	n\nတက္ျခင္း။
Ascension Day	n\nေယ႐ႈသခင္ ေကာင္းကင္ ဘံုသို႔တက္ျခင္း အထိမ္းအမွတ္ေန့။ (အီစတာပြဲေတာ္အျပီး ရက္ ၄၀-ေျမာက္ ၾကာသပေတးေန့)။
ascent	n\nတက္ျခင္း။ အေမာ႔တက္။ တိုးတက္မႈျဖစ္စဉ္။
ascents	n[pl]\nတိုးတက္မုျဖစ္စဉ္မ်ား
ascertain	v\nေသခ်ာေအာင္ ေလ့လာစိစစ္သည္။
ascertainable	adj\nသိရိွႏိုင္ေသာ။
ascetic	adj\nျခိဳးျခံေသာ အက်င့္ရိွေသာ။
ascetic	n\nျခိဳးျခံေသာ အက်င့္ရိွသူ။ တပသီ။
asceticism	n\nျခိဳးျခံေသာ အက်င့္ရိွသူ။ တပသီ။
Ascetics	n[pl]\nျခိဳးျခံေသာ အက်င့္ရိွသူမ်ား
ASCII	abbr\nAmerican Standard Code for Information Interchange. စံအျဖစ္ သတ္မွတ္ထားေသာ ကြန္ပ်ဴတာသေကၤတ။
ascribe	v\nအေၾကာင္း တရားအျဖစ္၊ လက္ရာအျဖစ္ မွတ္ယူသည္။
ascription	n\nအေၾကာင္းခံ အျဖစ္ သတ္မွတ္ျခင္း၊ ယူဆျခင္း။
ASEAN	abbr\nAssociation of South East Asian Nations. အေရွ႕ေတာင္အာရွ ႏိုင္ငံမ်ားအဖဲြ႔။ အာဆီယံ။
asepsis	n\n(medical) အန ၱရာယ္ျပဳေသာ ဘက္တီးရီးယားကင္းမဲ့မႈ။
aseptic	adj\nေရာဂါပိုးမရိွေသာ။
asexual	adj\nလိင္အဂၤါမဲ့ေသာ။ လိင္ ဆက္ဆံမႈ မရိွေသာ။ လိင္မႈကင္းေသာ။
ash	n\nျပာ။
Ash Wednesday	n\nLent ၏အစရက္။
ashamed	adj\nရွက္ေသာ။
ashen	adj\n(မ်က္ႏွာ) ျဖဴဖပ္ျဖဴေရာ္။
ashes	n\nျပာ။ အရိုးျပာ။
ashore	adv\nကမ္းေပၚသို႔။ ကမ္းေပၚ၌။ ကုန္းေပၚသို႔။ ကုန္းေပၚ၌။
ashram	n\nဟိႏၵူဘာသာဝင္တို႔ ဆုေတာင္းရာ၊ တရားက်င့္ရာ ေနရာ။
ashtray	n\nျပာခြက္။
ashy	adj\nျပာမဲြမဲြ။
Asian	n\nအာရွတိုက္သား။
Asian	adj\nအာရွ။
Asiatic	adj\nအာရွတိုက္၏။
aside	adv\nေဘးဘက္တြင္။ ေဘးဘက္သို႔။ အရန္အျဖစ္။ မွအပ။ ကလဲြ၍။
aside	n\nဇာတ္ကရာတြင္ ပရိသတ္ႏွင့္ သက္ဆိုင္သူ ဇာတ္ေဆာင္ သာ ၾကားသိရန္ျဖစ္၍ အတူရိွအျခား ဇာတ္ေဆာင္မ်ား ၾကား သိရန္မဟုတ္ေသာစကား။ စကားခ်ပ္။
aside	adv part\nေဘးဘက္တြင္
asinine	adj\nမလိမၼာေသာ။ မိုက္မေသာ။
ask	v\nေမးျမန္းသည္။ စံုစမ္းသည္။
ask	[sg]\nေမးျမန္း
ask for trouble	idm\nကိုယ္႔ျပႆနာ ကိုယ္ရွာသည္။
asked	v[pt]\nေမးျမန္းခဲ့
asked	v[pp]\nေမးျမန္းခဲ့ျပီး
askew	adj\nေစာင္းေသာ။ ေစြေသာ။ ရဲြ႔ေသာ။
askew	adv\nေစာင္းလ်က္။ ေစြလ်က္။ ရဲြ႔လ်က္။
asking	v[ing]\nေမးျမန္းေန
asking price	n\nေခၚေဈး။
asleep	adj\nအိပ္ေပ်ာ္ေနေသာ။
asp	n\nအာဖရိကေျမာက္ပိုင္းတြင္ ေတြ႔ရေသာ အဆိပ္ရိွ ေျမြငယ္တစ္မ်ိဳး။
asparagus	n\nကညြတ္တစ္မ်ိဳး။
aspect	n\nက႑။ လကၡဏာသြင္ျပင္။ ရႈေထာင့္။
aspects	n[pl]\nက႑မ်ား
aspen	n\nေလလာရြက္လႈပ္ ေပါ႔ပလာပင္ (poplar) တစ္မ်ိဳး။
asperity	n\nဟန္ပန္ေလသံမာမာ ျပင္းျပင္း။
asperse	n\nဂုဏ္သေရထိပါးေသာ စကား။
asphalt	n\nႏိုင္လြန္ကတၱရာ။
asphalt	v\nႏိုင္လြန္ကတၱရာခင္းသည္။
asphyxia	n\n(ေအာက္ဆီဂ်င္မရ၍) မြန္းျခင္း၊ အသက္ရႉမဝျခင္း။
asphyxiate	v\nမြန္းေစသည္။
asphyxiation	n\nအသက္ရႉက်ပ္ျခင္း။
aspic	n\nအသားရည္ျဖင့္လုပ္ေသာ ေက်ာက္ေက်ာ ကဲ့သို႔ေသာ ဟင္းလ်ာတစ္မ်ိဳး။ (သားငါးဟင္းပဲြ၌ ထည့္၍ သံုးေဆာင္သည္။)
aspidistra	n\nရႊက္ျပားၾကီး ျပီး ခြ်န္ေသာ ရႊက္လွပင္တစ္မ်ိဳး။
aspirant	n\nအျမင့္မွန္းသူ။
aspirate	n\n(phonetics) အဂၤလိပ္ ‘h’ အကၡရာသံ။ ျမန္မာဟထိုးသံ။
aspirate	v\nယင္းအသံကို ထုတ္ဆိုသည္။
aspiration	n\nျပင္းျပေသာဆႏၵ၊ ရည္မွန္းခ်က္။
aspire	v\nဆႏၵျပင္းျပသည္။ ရည္ရြယ္ခ်က္ ၾကီးမားစြာထားရိွသည္။
aspirin	n\nအကိုက္အခဲႏွင့္ အဖ်ား ေပ်ာက္ေဆး။ အက္စပရင္။
aspiring	v\nဆႏၵျပင္းျပေနသည္။
ass	n\nျမည္း။ လူႏံု။ လူအ။ ငေၾကာင္။
